"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1520","1580","1670","1860","1910","2050","2210","2150","2270","2690","2920","3180","3400","3640","4000","4390","5230","5450","5730","6310","6830","7280","7430","8050","8820","9560","10170","10580","11210","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","6220","6440","6830","6240","6970","7000","7720","8090","8190","8250","8610","8150","8860","9060","9830","10850","11920","12630","12080","12680","13940","13390","14070","15830","15060","15840","15900","16530","17100","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","630","590","580","600","640","610","640","660","690","660","700","720","680","720","740","780","830","840","910","960","1020","1110","750","730","800","860","960","1030","1060","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19500","19550","19880","20700","21810","22670","23240","24470","25430","26900","28590","29360","30180","31540","33180","35580","37500","38970","39780","38220","39320","40880","41540","43620","45010","43990","45900","47770","49430","49990","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6537.68918822475","6847.60009728597","7308.89946997111","7878.20090503801","8278.94331752605","8568.34407574088","8953.39831053496","9235.76518973821","9864.36673072724","10640.2247197214","11442.555434213","12031.4224330178","12982.4913180665","13898.5050670233","15341.6260005543","16898.9054368529","19018.9821820751","19121.2259153827","20086.6095914754","21342.8868864273","22174.6636321525","23240.5630915741","24197.0437141672","25222.658390702","26896.3319087462","28871.1403886235","30812.9879798002","33011.5140107713","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28160","28510","28750","29260","29770","30600","31320","33210","34510","35710","38140","38240","38720","40190","41610","43980","48460","50040","49150","52780","56230","56830","59140","61380","62170","65340","65880","65610","68900","71660","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4700","5390","5910","6270","7070","7750","8370","8790","8720","9220","9640","9930","10180","10840","11640","13840","15050","15220","15060","16880","19110","20490","21300","21910","22010","22710","23460","23730","25190","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1260","1450","1660","1830","2030","2240","2410","2620","2890","3160","3500","3910","4410","5020","5830","6830","7620","8290","9210","10200","11170","11830","12570","12930","13520","14330","15520","16810","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1780","1770","1740","1800","1910","2060","2140","2230","2230","2080","2030","1960","1870","2000","2210","2260","2310","2370","2410","2430","2310","2540","2700","3050","4550","4620","4690","4960","5290","",
